Datetime,RecNbr,TurbNTU,DepthFT2,TurbNTU2
2015-05-19 15:25:20,5302,9.66,0.09,7.183
2015-05-19 15:25:25,5303,16.39,0.019,4.195
2015-05-19 15:25:30,5304,12.18,0.087,-1.407
2015-05-19 15:25:35,5305,17.65,0.039,5.316
2015-05-19 15:25:40,5306,11.76,0.094,4.195
2015-05-19 15:25:45,5307,8.4,0.087,0.834
2015-05-19 15:25:50,5308,10.08,0.111,3.822
2015-05-19 15:25:55,5309,21.85,0.121,3.075
2015-05-19 15:26:00,5310,13.02,0.032,-0.286
2015-05-19 15:26:05,5311,12.6,0.073,8.3
2015-05-19 15:26:10,5312,17.23,0.08,0.46
2015-05-19 15:26:15,5313,17.23,0.077,4.195
2015-05-19 15:26:20,5314,17.23,0.077,4.942
2015-05-19 15:26:25,5315,14.29,0.08,4.195
2015-05-19 15:26:30,5316,15.55,0.077,3.075
2015-05-19 15:26:35,5317,7.979,0.063,0.087
2015-05-19 15:26:40,5318,14.29,0.043,1.954
2015-05-19 15:26:45,5319,13.02,0.127,0.087
2015-05-19 15:26:50,5320,15.97,0.11,5.316
2015-05-19 15:26:55,5321,13.44,0.121,8.3
2015-05-19 15:27:00,5322,21.01,0.056,4.569
2015-05-19 15:27:05,5323,20.59,0.1,4.195
2015-05-19 15:27:10,5324,16.81,0.063,-0.286
2015-05-19 15:27:15,5325,12.6,0.134,7.93
2015-05-19 15:27:20,5326,19.33,0.1,6.809
2015-05-19 15:27:25,5327,13.44,0.043,3.822
2015-05-19 15:27:30,5328,21.85,0.063,0.834
2015-05-19 15:27:35,5329,13.02,0.073,5.689
2015-05-19 15:27:40,5330,21.85,0.11,7.556
2015-05-19 15:27:45,5331,16.81,0.066,5.316
2015-05-19 15:27:50,5332,14.29,0.073,-0.66
2015-05-19 15:27:55,5333,11.34,0.053,5.315
2015-05-19 15:28:00,5334,17.23,0.07,2.701
2015-05-19 15:28:05,5335,13.02,0.039,0.46
2015-05-19 15:28:10,5336,16.81,0.107,3.822
2015-05-19 15:28:15,5337,8.4,0.104,-1.033
