Datetime,RecNbr,DepthFT_Med,PTemp_C_Avg,DepthFT2_Avg,TurbRound24,TurbNTU2_Med,TurbNTU2_Std,TurbNTU2_Max,TurbRound05,TurbRAvg24hr2,TurbNTU2_Min,TurbNTU_Std,TurbNTU_Avg,TurbRAvg24hr,PTemp_C_Med,TurbNTU_Med,DepthFT_Avg,TurbSign05,DepthFT2_Med,TurbNTU2_Avg
2015-05-21 15:55:00,112,-0.252,20.85,0.072,5.0,3.824,2.815,8.31,3.0,4.593,-1.405,2.594,4.834,4.593,20.85,4.616,-0.252,2.704,0.074,3.37
2015-05-21 16:00:00,113,-0.239,20.87,0.067,5.0,3.637,2.793,8.31,4.0,4.586,-1.405,2.922,5.465,4.586,20.85,5.457,-0.237,3.824,0.067,3.326
2015-05-21 16:05:00,114,-0.247,20.9,0.054,5.0,3.264,2.991,8.31,4.0,4.577,-1.405,2.474,5.254,4.577,20.91,5.457,-0.245,3.637,0.056,2.971
2015-05-21 16:10:00,115,-0.25,20.92,0.053,5.0,3.451,6.198,46.03,3.0,4.566,-1.405,6.425,5.787,4.566,20.93,5.037,-0.254,3.264,0.054,3.239
2015-05-21 16:15:00,116,-0.26,20.96,0.043,5.0,3.451,2.766,8.31,3.0,4.556,-1.405,2.358,5.78,4.556,20.96,5.878,-0.259,3.451,0.044,2.953
2015-05-21 16:20:00,117,-0.265,20.98,0.043,5.0,2.704,2.909,8.31,3.0,4.547,-1.405,2.826,4.89,4.547,20.99,4.616,-0.265,3.451,0.042,2.648
2015-05-21 16:25:00,118,-0.277,21.02,0.048,5.0,3.824,2.923,8.31,3.0,4.531,-1.405,2.624,5.759,4.531,21.02,5.878,-0.28,2.704,0.04,3.146
2015-05-21 16:30:00,119,-0.286,21.04,0.045,5.0,3.638,2.99,8.31,4.0,4.525,-1.405,2.538,6.018,4.525,21.04,6.299,-0.284,3.824,0.044,2.779
2015-05-21 16:35:00,120,-0.294,21.05,0.048,5.0,3.824,3.05,8.31,4.0,4.517,-1.032,2.737,5.226,4.517,21.07,5.037,-0.293,3.638,0.05,3.127
2015-05-21 16:40:00,121,-0.302,21.07,0.041,5.0,3.264,2.835,8.31,4.0,4.512,-1.405,2.798,5.345,4.512,21.07,5.457,-0.301,3.824,0.04,2.623
2015-05-21 16:45:00,122,-0.301,21.09,0.042,5.0,3.824,2.964,8.31,3.0,4.501,-1.405,2.448,6.116,4.501,21.1,5.878,-0.3,3.264,0.044,3.227
2015-05-21 16:50:00,123,-0.292,21.13,0.047,4.0,3.077,3.02,8.31,4.0,4.496,-1.405,2.368,5.948,4.496,21.12,5.878,-0.293,3.824,0.047,2.94
2015-05-21 16:55:00,124,-0.288,21.16,0.04,4.0,3.637,2.73,8.31,3.0,4.484,-1.032,2.413,5.247,4.484,21.15,5.247,-0.289,3.077,0.042,3.202
2015-05-21 17:00:00,125,-0.287,21.18,0.045,4.0,3.45,2.837,8.31,4.0,4.477,-1.032,2.549,5.681,4.477,21.18,5.457,-0.288,3.637,0.047,2.79
2015-05-21 17:05:00,126,-0.293,21.2,0.043,4.0,3.637,2.968,8.68,3.0,4.469,-1.405,2.694,5.64,4.469,21.21,5.878,-0.292,3.45,0.044,3.158
2015-05-21 17:10:00,127,-0.298,21.21,0.049,4.0,2.517,3.005,8.31,4.0,4.463,-1.031,2.751,5.422,4.463,21.21,5.457,-0.296,3.637,0.049,2.722
2015-05-21 17:15:00,128,-0.306,21.23,0.052,4.0,3.451,3.08,8.31,3.0,4.447,-1.405,2.784,5.892,4.447,21.23,5.878,-0.305,2.517,0.054,2.847
2015-05-21 17:20:00,129,-0.314,21.26,0.045,4.0,4.197,2.734,8.31,3.0,4.44,-1.032,2.44,5.345,4.44,21.26,5.037,-0.316,3.451,0.045,3.463
2015-05-21 17:25:00,130,-0.323,21.27,0.047,4.0,4.197,2.937,8.31,4.0,4.438,-1.032,2.85,5.702,4.438,21.26,5.667,-0.322,4.197,0.045,3.456
2015-05-21 17:30:00,131,-0.326,21.29,0.049,4.0,3.823,2.955,8.31,4.0,4.436,-1.032,2.764,5.702,4.436,21.29,5.457,-0.327,4.197,0.054,2.927
2015-05-21 17:25:00,130,-0.323,21.27,0.047,4.0,4.197,2.937,8.31,4.0,4.438,-1.032,2.85,5.702,4.438,21.26,5.667,-0.322,4.197,0.045,3.456
2015-05-21 17:30:00,131,-0.326,21.29,0.049,4.0,3.823,2.955,8.31,4.0,4.436,-1.032,2.764,5.702,4.436,21.29,5.457,-0.327,4.197,0.054,2.927
